iter	Passed	Remaining
0	58	58374
1	58	29418
2	59	19792
3	60	15006
4	60	12138
5	61	10198
6	62	8812
7	62	7775
8	63	6971
9	63	6330
10	64	5806
11	65	5374
12	66	5013
13	66	4700
14	67	4418
15	67	4171
16	68	3956
17	68	3759
18	69	3587
19	70	3434
20	70	3296
21	71	3167
22	71	3051
23	72	2945
24	73	2849
25	73	2758
26	74	2672
27	74	2592
28	75	2521
29	75	2452
30	76	2388
31	77	2329
32	77	2272
33	78	2219
34	78	2171
35	79	2123
36	79	2079
37	80	2037
38	81	1997
39	81	1958
40	82	1922
41	82	1889
42	83	1856
43	84	1825
44	84	1794
45	85	1764
46	85	1737
47	86	1710
48	86	1685
49	87	1663
50	88	1641
51	88	1619
52	89	1598
53	90	1579
54	90	1560
55	91	1542
56	92	1523
57	92	1506
58	93	1489
59	94	1473
60	94	1457
61	95	1441
62	95	1426
63	96	1412
64	97	1399
65	97	1385
66	98	1372
67	99	1359
68	99	1345
69	100	1333
70	100	1321
71	101	1308
72	102	1298
73	102	1287
74	103	1276
75	104	1265
76	104	1255
77	105	1245
78	106	1237
79	106	1229
80	107	1220
81	108	1211
82	108	1199
83	109	1191
84	110	1184
85	110	1176
86	111	1168
87	112	1160
88	112	1153
89	113	1145
90	113	1137
91	114	1129
92	115	1122
93	115	1115
94	116	1108
95	117	1102
96	117	1096
97	118	1093
98	119	1089
99	120	1082
100	121	1077
101	121	1071
102	122	1065
103	123	1060
104	123	1054
105	124	1049
106	125	1044
107	125	1038
108	126	1034
109	127	1029
110	127	1024
111	128	1019
112	129	1014
113	129	1009
114	130	1004
115	131	1000
116	131	995
117	132	990
118	133	985
119	133	981
120	134	977
121	134	971
122	135	966
123	136	963
124	137	959
125	137	955
126	138	950
127	139	947
128	139	944
129	140	940
130	141	936
131	141	932
132	142	929
133	143	926
134	144	923
135	144	920
136	145	917
137	146	914
138	147	912
139	148	909
140	148	907
141	149	902
142	150	900
143	151	898
144	151	895
145	152	892
146	153	890
147	154	888
148	155	886
149	156	884
150	156	881
151	157	879
152	158	875
153	158	872
154	159	869
155	160	867
156	161	865
157	161	862
158	162	861
159	163	859
160	164	855
161	164	853
162	165	851
163	166	849
164	167	847
165	168	844
166	168	842
167	169	841
168	170	839
169	171	837
170	172	835
171	173	833
172	173	831
173	174	828
174	175	826
175	175	823
176	176	822
177	177	820
178	178	818
179	179	817
180	180	815
181	181	813
182	181	811
183	182	809
184	183	807
185	184	805
186	184	803
187	185	801
188	186	799
189	187	801
190	188	799
191	190	800
192	191	798
193	191	796
194	192	795
195	193	793
196	194	791
197	194	789
198	195	787
199	196	785
200	197	783
201	198	782
202	199	781
203	199	779
204	200	777
205	201	775
206	202	773
207	202	772
208	203	770
209	204	768
210	204	765
211	205	763
212	206	761
213	206	759
214	207	757
215	208	755
216	208	752
217	209	750
218	209	748
219	210	746
220	211	744
221	211	742
222	212	740
223	213	737
224	213	735
225	214	734
226	215	732
227	215	730
228	216	728
229	217	726
230	217	724
231	218	723
232	219	721
233	219	718
234	220	716
235	220	714
236	221	712
237	222	711
238	222	709
239	223	707
240	224	705
241	224	704
242	225	702
243	226	700
244	226	699
245	227	697
246	228	695
247	228	694
248	229	693
249	230	691
250	231	690
251	232	688
252	232	687
253	233	685
254	234	683
255	234	682
256	235	680
257	236	678
258	236	677
259	237	675
260	238	673
261	238	672
262	239	670
263	240	669
264	240	667
265	241	665
266	241	664
267	242	662
268	243	661
269	243	659
270	244	657
271	245	656
272	246	655
273	246	653
274	247	651
275	247	650
276	248	648
277	249	646
278	249	645
279	250	643
280	251	642
281	251	640
282	252	639
283	253	637
284	253	636
285	254	634
286	254	633
287	255	631
288	256	629
289	256	628
290	257	627
291	258	625
292	258	624
293	259	623
294	260	621
295	260	620
296	261	619
297	262	617
298	262	616
299	263	614
300	264	613
301	264	611
302	265	610
303	266	609
304	266	607
305	267	606
306	267	604
307	268	603
308	269	601
309	269	599
310	270	598
311	270	596
312	271	595
313	271	593
314	272	592
315	272	590
316	273	589
317	274	587
318	274	586
319	275	584
320	275	583
321	276	581
322	276	580
323	277	579
324	278	577
325	278	576
326	279	574
327	279	573
328	280	571
329	280	570
330	281	568
331	281	567
332	282	566
333	283	564
334	283	563
335	284	562
336	284	560
337	285	558
338	285	557
339	286	556
340	286	554
341	287	553
342	287	551
343	288	550
344	289	548
345	289	547
346	290	545
347	290	544
348	291	543
349	291	541
350	292	540
351	292	539
352	293	537
353	293	536
354	294	535
355	295	533
356	295	532
357	296	531
358	296	529
359	297	528
360	297	527
361	298	525
362	298	524
363	299	523
364	300	522
365	300	520
366	301	519
367	301	518
368	302	516
369	302	515
370	303	514
371	303	513
372	304	511
373	305	510
374	305	509
375	306	507
376	306	506
377	307	505
378	307	504
379	308	502
380	308	501
381	309	500
382	309	498
383	310	497
384	310	496
385	311	495
386	311	493
387	312	492
388	313	491
389	313	490
390	314	489
391	314	488
392	315	486
393	315	485
394	316	484
395	316	483
396	317	482
397	317	480
398	318	479
399	319	478
400	319	477
401	320	476
402	320	474
403	321	473
404	321	472
405	322	471
406	322	470
407	323	469
408	323	468
409	324	466
410	324	465
411	325	464
412	325	463
413	326	461
414	326	460
415	327	459
416	327	458
417	328	456
418	328	455
419	329	454
420	329	453
421	330	451
422	330	450
423	330	449
424	331	448
425	331	447
426	332	445
427	332	444
428	333	443
429	333	442
430	334	441
431	334	440
432	335	438
433	335	437
434	336	436
435	336	435
436	336	434
437	337	432
438	337	431
439	338	430
440	338	429
441	339	428
442	339	427
443	340	425
444	340	424
445	341	423
446	341	422
447	341	421
448	342	420
449	342	419
450	343	418
451	343	416
452	344	415
453	344	414
454	345	413
455	345	412
456	346	411
457	346	410
458	347	409
459	347	408
460	348	407
461	348	406
462	349	405
463	349	404
464	350	403
465	350	402
466	351	400
467	351	400
468	352	398
469	352	397
470	353	396
471	353	395
472	354	394
